,Nombre,Puntuación,Categoria,Costo Promedio,Coords
0,Les associés,7.800000000000001,Moderate,EUR 30,"{'lat': 48.8515759, 'lng': 2.3696709}"
1,Santa carne,8.8,Moderate,EUR 49,"{'lat': 48.854747, 'lng': 2.3694099}"
2,Végé'saveurs,9.2,Inexpensive,EUR 26,"{'lat': 48.8522306, 'lng': 2.3714127}"
3,Bofinger,8.2,Moderate,EUR 69,"{'lat': 48.853762, 'lng': 2.367904}"
4,Restaurant h,9.4,Expensive,EUR 117,"{'lat': 48.8545233, 'lng': 2.368052}"
5,Chez papa bastille,8.4,Moderate,EUR 26,"{'lat': 48.8505694, 'lng': 2.3690639}"
6,Auberge de venise bastille,7.800000000000001,Moderate,EUR 39,"{'lat': 48.8537705, 'lng': 2.3674931}"
7,Sukiyaki,8.6,Moderate,EUR 20,"{'lat': 48.8535939, 'lng': 2.3707409}"
8,L'area,9.2,Moderate,EUR 35,"{'lat': 48.8542795, 'lng': 2.3674312}"
9,L'arsenal bastille,7.800000000000001,Moderate,EUR 25,"{'lat': 48.8524735, 'lng': 2.3677202}"
10,Piadineria 14.07,9.4,Not specified,EUR 20,"{'lat': 48.85533419999999, 'lng': 2.3718069}"
11,Crêperie elo bastille,8.6,Moderate,EUR 21,"{'lat': 48.853291, 'lng': 2.367289}"
12,Quatre amis,8.6,Inexpensive,EUR 23,"{'lat': 48.8522395, 'lng': 2.37143}"
13,Amarante,9.0,Not specified,Not specified,"{'lat': 48.84961999999999, 'lng': 2.370114}"
14,La cour du faubourg,8.4,Not specified,EUR 25,"{'lat': 48.8526878, 'lng': 2.3716898}"
15,Le beaumarchais,8.2,Moderate,EUR 33,"{'lat': 48.8549127, 'lng': 2.3684058}"
16,Adria,9.2,Moderate,EUR 29,"{'lat': 48.8509447, 'lng': 2.3729395}"
